FrameTimesStart	FrameTimesEnd	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	-0.06960790138469773	0.4770193709526967	-0.1960409331050786	-0.10154325704989506	0.04570203134651473	0.02763317316596875	2.8040466705694117e-05	-2.0712122096253247	0.14998828168311892	1.7713161982403551	0.7434957418766033	0.20084030340824807	5.11891334916465	2.1778340494345434	3.2647662831261908	0.002154258301974949	0.526373719002255	0.09136324430533553	0.18334342379655158	-0.02126431942402882	-0.0024144562953710524	0.02015702100470662	-0.033177509854434045	-0.0014910712109397267	-0.0055076502608083985	-0.6617229477888031	-0.11473975606241879	-0.057309957278653935	-0.002318787883622862	0.0004608367566891907	-0.030806913764940366	-0.05122651704995713	1.7577564152975962	-0.000420214959376608	-0.002555566403316334	-0.007877528667449951	0.13618872063448273	0.0008337118318676185	0.05790974729617762	0.062207588297700366	-0.03313701027119905	0.0008527889306337987	-0.0006529910576015633	-0.0002620240418210006	-0.004240318328796249	0.044966619461774826	-0.0028094882460135877
30	60	823.2888824373272	230.310165006619	611.5192139365456	-2.705500475394315	1107.5870126996722	289.03049504115165	180.13071045930647	462.8151598374049	39.07425257183459	619.9160810255756	321.1891665894498	421.19490487234935	310.613774210612	544.446437312896	751.1985795392546	105.87199544113064	1273.541616997034	122.97325558014933	-58.63118825639997	4.62445424203552	5.167451784527873	-38.80615864197413	1.7527528069186318	1301.8488562558148	192.21190571223988	697.8712074160576	-9.161601465823779	1569.7301970451108	1192.7510319609846	133.4020989391984	542.4463777542114	116.90064201046549	560.051653237379	649.46741414612	330.9452133178711	37.38113021850586	-46.02812749025773	462.23198461769954	1585.9383753055479	108.39852772882351	998.6958185120033	116.41393269990473	-3.2174944082895913	99.80856708966368	25.140403249772817	3.949553966522217	7.584173932222078
60	90	7087.920045893243	2635.082532238651	5580.23688992587	265.91589139911895	10823.628144763765	1810.6802641466304	1303.398856685943	1605.836851755778	621.2323760726825	6421.043405087681	2470.084543310186	5491.164463588169	1105.0907283147176	2553.161579967024	4793.140570645	2723.9724807118523	7517.913201632879	650.427182419046	-862.3929879324777	257.8464706614494	316.507480432491	541.4766355488035	-26.59217135355886	9700.732869947278	3514.48647256739	4265.636932373047	2.860645388982382	9797.560888474987	5751.5386261641	1213.7802564546841	2759.5242546929253	1408.972202566836	6949.6975445484395	3465.639651125128	6075.92099609375	-948.2283325195312	-96.40920467765964	3886.886835094047	6319.721428354775	2532.7553961360372	8694.691929075452	1423.8324557910512	2540.8990701039634	930.0494189913578	141.6673768130131	48.96223449707031	0.7003428210417011
90	120	19135.883115511413	7453.134785094819	12992.831898082386	511.5230529567291	24477.52225167411	4096.552139868779	2890.0313172540746	3900.442225138346	1397.7700267768637	14504.978033581296	5203.719190843643	13253.422677176339	4191.021547851563	4732.038795812063	12559.227928764876	4702.902155926947	16233.899098077358	2311.9040599392	-1942.3163059779577	703.3942665274566	674.174331900571	1081.5458428064983	9.380443456007793	21948.38421898919	9110.331426665362	9295.817520141602	221.78826368417606	21552.247086063508	11193.977965764087	1489.1319262079833	7820.490141126845	3206.5826818934256	15311.32559595657	6380.891117854552	12493.8734375	-4278.52490234375	645.6728048519212	6030.845230659553	14858.363728816335	3674.4720045769964	16349.07975878481	2215.953085591544	9270.572001139322	3041.76424328377	353.07230879776256	173.677978515625	36.8445618565737
120	150	23374.420831991425	8559.596881086176	18253.341230912643	1044.953474238001	32605.956217447918	6379.926770390311	3874.219872098009	4205.415926615397	1839.256292795851	19972.793111586892	8432.421991245721	19395.648890904016	6221.5643806966145	8890.264643370387	15305.051063510984	8858.232886667081	27892.93287997056	3176.194888200857	-2644.3882664271764	2657.874280756408	1008.096530957732	1327.2559208340115	14.793900570445542	21610.774762978424	15327.3406688017	13254.65934753418	498.27777545997895	27521.807373046875	15771.966833486022	2422.9262122787345	8923.504226010707	5282.13896894455	24787.57390024821	7953.076530369845	19254.846875	-7432.83154296875	1000.2755007646522	9975.217684370227	21865.02927361465	6046.638134896339	24824.35293426887	3417.975590768738	19983.60902404785	4990.88231766904	453.7129518163001	253.66448974609375	30.710504311781662
150	180	23058.651643685414	9940.422159417883	22304.523848100143	1012.4619542976906	33756.215692429316	6126.557213513197	4579.893809779352	2861.854891459147	2301.4062229192177	25018.56858193069	6782.832923150831	18024.318777901786	6739.908748372396	10039.585813009116	16953.643200825536	10138.694880578645	28061.33063976812	2531.852784600355	-3155.0960649762833	935.0720286596423	961.8281460707686	2049.3423055013022	-1.8671656862331643	25458.671963665936	15343.696295435288	15138.449676513672	567.670236503264	28162.692823840727	17777.320196724566	3152.1235158583695	11082.071038140191	6057.422866944004	29567.32607390895	10102.546236038208	20311.0484375	-6262.40478515625	1423.6227793401602	10211.0800163134	24205.35816464308	6370.579960162823	26430.654235471575	3403.5997086555803	16432.261213938396	4539.816277499244	522.7656194723112	259.3009948730469	49.50192020502181
180	240	21593.55186143158	10709.53772225318	19540.347234552555	909.8505573580748	32548.99927920387	7208.69462345624	5070.811525457046	4216.2346928914385	2212.709270771669	22965.50757676779	9359.29935459424	21564.01953125	5077.324242350261	8797.916265937698	19987.970707099383	10249.299858002973	28729.172287186448	3262.904684297362	-3209.6097450256348	2782.631442996745	962.410167667934	1610.3055422041152	-26.719081918577857	27047.626181937554	17686.599877750174	14413.647399902344	374.33202735487237	31540.501905871977	18999.569662943926	3279.664965701704	10834.867767333984	6013.3522285582385	27391.47574685299	9897.297550201416	21824.409765625	-8219.8291015625	964.2743203639984	11263.515551879344	23452.917809463128	6341.310841647061	26019.65579614483	4077.338281906659	26537.53212483724	5804.14700507702	505.93153219076095	305.9454345703125	33.041557423805756
240	300	21887.791203492077	10455.618816028942	21174.771439985794	829.330385221284	32981.127115885414	6373.768368588788	4545.995906092539	4785.016357421875	2075.638561914567	22959.163860502544	8693.495461156292	18007.357979910714	3753.971254081726	9537.597448739662	19994.43505667753	9863.53825734212	30053.980177230394	2785.7275524538786	-2975.528689793178	915.953371325651	921.250237112038	978.0934331681993	-85.1088019725379	23486.427057833283	15275.241234633502	12383.28598022461	406.8343897746749	27235.716694493447	18357.94337494224	3004.7487668590384	11486.408938937717	5194.033487033318	25079.060550745184	9374.588085499678	19307.276171875	-8015.72412109375	1147.9976470324457	11716.774230037116	24020.917752893958	6621.5920084439795	27674.488047983694	3585.5140840995373	20960.729329427082	5388.977444027263	476.67965251511896	302.5725402832031	24.585830944842485
300	360	22425.729261249515	9401.818672031552	17449.306174538353	776.0550452843822	31812.569847470237	6719.5047451086275	4686.412229281514	3517.2077306111655	1875.9319562652483	21628.19191766859	7565.223371198101	18274.200090680803	3883.608120218913	8694.410487370318	17123.279807671835	8320.0380192593	28070.435535478275	3547.644592706322	-2831.728009905134	2835.4507510189733	869.8823300900103	705.9125872717964	-74.14646080469826	25080.180129180084	14680.33390601663	13224.314270019531	548.3636909929145	27379.22927954889	19788.860153538164	2515.0819925260143	9728.485444810656	5312.0458037993485	24193.980749053953	10127.047640540382	19324.0060546875	-801.3534545898438	1315.0994904187262	10209.14685700003	23685.42145592294	6756.452152992462	26212.33082061865	3076.7617009551964	18415.440266927082	3581.5195986667613	610.1975748672193	305.8500061035156	12.740477809009267
360	480	20730.46409444606	9962.281433501801	18450.13465465199	822.5574711569425	31871.812593005954	6231.028196214575	4286.822192997492	4275.898335774739	1827.8959784110386	20404.650633910755	7825.8542180625345	17830.81769670759	4813.751905619303	8449.165541867176	16869.97005664914	9823.55492274719	27060.232242837646	3540.7621630593603	-2887.7883736746653	2694.195345508938	822.5485353094862	1017.7241473727756	-35.15747475490606	23417.038986824653	13722.149876314052	12682.153350830078	280.4502585231061	27060.642263104837	16040.087378876437	2847.6955315726145	8609.095486111111	4735.010127276182	22858.10188283978	8488.510257742622	17699.8927734375	-7152.77783203125	473.03769245926213	10117.569175889006	23156.254217380432	5797.967328064925	25229.63014985868	3521.533463966787	18780.18012491862	4636.148824314349	428.42999377499336	270.9850769042969	63.71170272917592
