FrameTimesStart	FrameTimesEnd	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
480	600	28889.139918550532	31923.97846489448	33405.23952414773	37076.64561557112	25799.2109375	31501.651830982668	30631.32213432248	32146.938639322918	39974.697790444305	36818.900568781675	35761.420320900535	26162.20675223214	31099.367916666666	39420.526276982935	34115.5855287064	34609.11236825074	33636.59627063069	28048.394813808693	28738.811662946428	30996.656797751402	33791.28227166294	22734.173828125	32106.198638805843	32099.357039168073	30011.412408088236	34234.9833984375	37074.44351625251	28345.159715221773	28977.30060720916	32424.002412683825	32152.462239583332	39301.63415527344	36723.26822679924	32574.644464666195	25196.18984375	38558.14453125	34096.44599011479	38762.29029832688	31822.611223323172	36451.05870301573	30783.02811041382	28861.126311800374	27270.2119140625	33047.24614636985	34688.767005373156	28697.736328125	35579.241800579555
600	900	28127.602532136523	29092.29210633117	31917.63263494318	34376.626448006464	24701.95275297619	30547.248669109515	29931.388819590335	30498.31103515625	35720.96860384779	33899.27599327843	33301.1875	27090.692522321428	28847.9903125	36411.50478476405	33821.162999636625	32541.435870469675	32000.41657342974	25269.652784938135	27087.59988839286	27776.599299504207	30370.940224434496	22534.764973958332	30186.218862815884	27623.816947318413	30134.05880055147	31076.447021484375	33829.78498368474	24656.282762096773	27177.285987778465	26878.889837184874	30628.49631076389	34980.49148380055	33145.98011126894	30730.13203568892	27512.2390625	35747.55078125	30830.176658163266	35692.58655973451	29509.574961890245	33216.159705528844	29086.926791609745	25668.19710043532	28900.983561197918	29044.161942229595	31468.855621209124	26706.08984375	32660.659806375133
900	1200	25946.788439162236	28337.74581473214	27512.449751420456	31102.182320851294	23719.836774553572	27695.76708264196	27045.0825728729	27488.939778645832	31243.90012489371	30180.573120117188	28573.45159190188	25079.588448660714	27257.9675390625	30803.111108496487	30172.770875726743	29549.89952385355	28502.461411229822	24889.264804588358	26173.27511160714	25267.165154872797	26908.162113056667	22290.78146701389	26595.724263876353	26505.31540329392	28745.041521139705	29067.952392578125	30972.932942708332	23056.333984375	25602.78188814975	24629.093454569327	27590.578776041668	32406.629782284006	30831.81350378788	28047.6826171875	24567.938671875	32377.5703125	29188.299306441328	30719.49312085177	27858.49317835366	28230.21603201486	26336.34711549408	25732.818986124068	27924.997721354168	26993.01490070325	28078.671963591114	24801.810546875	28928.7110856823
1200	1500	24747.299354499115	27805.002409699675	26304.07244318182	27769.96569234914	21303.29259672619	26173.37940749447	24744.060276063552	26917.27685546875	28404.046582695577	27107.133692286036	27328.720703125	25441.581473214286	24530.708098958334	28706.71875	27671.37883357558	26899.242037259617	27761.62297088421	24263.840433653237	26558.978515625	24892.75272623698	24602.83593013666	21029.198350694445	23918.09022714773	24245.56325221706	25497.954526654412	25885.94384765625	28958.529218436244	20426.260710685485	24070.587523205446	22295.38641511292	25899.384114583332	27956.63686236213	26898.144500473485	27122.62364612926	23172.844921875	28374.078125	27413.727120535714	27220.36017871958	26935.127801067072	27039.003476016172	24237.481403510643	23448.355808846394	25168.607096354168	24699.707511019216	25229.773047081027	22056.9375	26596.916996303677
1500	1800	22632.915565436615	24543.774274553572	24046.45916193182	25061.631606950432	20089.30343191964	24192.79542311947	22471.35475479254	23806.139485677082	25704.887848107992	24877.18766495988	24422.632980510753	24169.16796875	22190.810950520834	25350.443339765312	25808.475481468024	24344.538854474853	23785.870489057324	22904.24241800841	24471.432198660714	23021.795377291164	22943.922104183846	20090.276041666668	22970.75428876636	23835.362271695525	24268.914361213236	23385.288330078125	24489.220044239457	20760.286731350807	22792.833881239687	20118.557362788866	23297.844835069445	24484.552583582263	24282.167201704546	23699.340886896305	24285.465234375	23710.87109375	23332.02104591837	23468.472327848453	24086.860108612804	23277.892721536275	22751.767213470514	21932.11178968439	23513.366048177082	22695.32757249158	23074.25873549578	22024.77734375	22865.81518168796
1800	2100	21739.126676085994	23746.082513189936	22667.154829545456	22162.631017645475	17035.52367001488	23188.362244192478	20222.75785353204	23239.37451171875	23313.570724383502	22161.883463541668	23640.434076780915	20819.225725446428	21821.358450520835	22681.572732335593	24364.705268895348	23401.07354266827	23426.470264965334	21866.34551475254	24006.790457589286	21367.571145082133	20224.510242401037	18562.373697916668	19769.83865036947	21251.6321130701	22707.285202205883	24019.066650390625	23006.633557668174	20225.947958669356	20804.149491413984	20741.481305803572	22321.988715277777	23429.438893037684	22834.11987807765	22879.322287819603	19183.93515625	26794.6484375	23062.611248405614	22255.293297151547	22254.859632240852	23120.79653354458	20492.911107019867	21398.601820001553	22360.021809895832	22013.60292287787	21291.353694867485	21717.466796875	21758.615958821785
2100	2400	21408.171985815603	21071.98850953734	21402.842862215908	22821.917130253234	16563.40015811012	20036.26391961652	19262.98615579044	20477.52734375	21800.04982461735	20449.387602934967	20297.716964885753	18872.04659598214	21713.230091145833	21624.080921341618	20713.313685501453	20689.87838618713	21285.008985506778	20439.423565394987	19700.227120535714	20466.214219313402	19763.005055850907	16957.516167534723	19386.203708469653	21311.051652238177	20982.439039522058	18629.34326171875	20417.199752133532	16611.118668094758	19413.071659705034	18745.19242384454	20032.688368055555	19105.589793485753	19010.303444602272	20299.93048650568	18730.48984375	19586.212890625	19410.64285714286	20223.845685840708	21198.22439977134	20190.966796875	19606.44264340705	20559.45642150575	20010.3955078125	18641.784012542095	18728.596532379022	16522.578125	20499.850731032668
2400	2700	18817.88294409353	19553.302429991883	20145.56427556818	19612.092032596982	16193.778645833334	19534.747741519175	17067.453945640755	18972.25830078125	20033.558925914116	19044.497479413007	19990.095745127688	17794.285993303572	19088.477356770833	19366.911819151606	20443.021220930234	19403.64254923262	19920.881850488928	18345.740583855488	19184.33035714286	18039.66301551232	17851.2178976938	17695.624457465277	18299.246352873986	19010.00682274071	20126.56872702206	19358.264404296875	21865.2828187751	16225.011403729839	20045.74718311675	16864.84670430672	18868.112847222223	19145.283102596506	18433.455562263258	19733.27616743608	18951.2859375	18909.916015625	20990.870735012755	19182.235100940266	20003.696008003048	20726.306497213725	17621.96451289276	19263.394667288558	21203.605143229168	19242.459911412934	18632.200621785996	19419.671875	19987.831607283984
2700	3000	18504.861002604168	20088.468496347403	17312.803355823864	19335.36344625539	14902.903366815477	18998.726274428467	15854.980042016807	19295.18212890625	17591.016531808036	17397.941766962274	18424.50986013105	17713.73409598214	19090.085716145833	17614.102899880774	19186.718972565406	19057.43205089682	18753.74192638271	18608.655080107867	17874.530412946428	17512.403974484176	16856.414334023033	15664.142252604166	17426.100670549415	16072.661766258447	20738.737798713235	16680.6103515625	18163.183425106676	15601.988249747983	18472.342763768564	15588.780601693803	19770.785807291668	18428.391095329735	17643.510907907195	20703.953391335228	21408.049609375	18311.974609375	18360.398278061224	17905.645036815542	19956.274552210365	18630.579873251747	16734.293685607354	18414.90384746191	21562.737467447918	16883.67350466769	16804.554471172865	13617.595703125	17401.117374785958
3000	3300	17336.8476285461	19925.449675324675	14695.025390625	17115.104397898707	12377.282505580357	17758.751353936208	16896.899290966387	17132.688232421875	16451.04914368091	15962.279683980856	17060.396715389787	18833.752511160714	16369.922005208333	16954.160462161144	18236.013326671513	16990.55180404031	16687.107457445156	18491.126881246033	20675.67745535714	15972.344196026143	15793.008940010897	15210.800455729166	16324.236451517374	16111.98243507179	15894.963361672793	15560.485717773438	15239.465737951807	12712.365769909275	16353.12426838387	13063.834673713236	14998.043294270834	15948.324807559742	15964.779515861743	16333.281516335228	15059.0796875	19191.435546875	16311.538464604591	15991.516705268252	16922.22803448933	16490.457140515733	15640.755797116917	15734.650188996424	14997.828369140625	14624.302082817452	14170.318731251647	17821.96875	16590.082231913526
3300	3600	15593.395237699468	15483.777851055194	15936.67959872159	15783.73681640625	13622.949311755952	17984.93923130992	13980.905732996323	14988.757405598959	15224.537361819728	15509.768673458615	15591.0810546875	14779.52943638393	16590.462486979166	13736.412497646837	17627.288344840115	14898.15883297892	16178.207985985358	17243.362735961295	15077.244419642857	15875.899722368289	14858.526576122173	14791.5283203125	13632.285475307423	14396.350374788852	15538.195806525735	15441.44970703125	14142.660258220381	13898.647712953629	15549.875406095298	16181.712463891807	12816.097873263889	15063.580476648667	15268.89129379735	14963.994839754972	17391.2375	13733.12890625	14333.106744260203	14257.781008019912	15379.247399009146	14472.484265734265	14105.239354757228	15065.461571536847	16039.720784505209	13652.06583052694	13097.489959330498	13621.6005859375	14913.182886796958
3600	3900	14991.642571199025	16284.56752232143	14029.204545454546	15304.716739628233	12121.804361979166	17309.511427797752	12075.786395417543	15707.684244791666	13813.607571348852	13558.91447709917	17230.627688172044	15028.774135044643	14567.950755208334	14556.954285893575	17814.46339026163	15194.383234328772	15015.235887540097	15558.49214784264	17171.41015625	15085.69430463742	13686.867740670652	14344.5439453125	14085.93958885661	16005.050035631335	18614.330158547793	15033.686279296875	14251.248191986697	13486.447706653225	17387.01606654806	13341.667648700106	14684.342122395834	14083.760006175322	13854.450371685605	16976.132191051136	17038.45625	15045.349609375	15273.821867028062	12720.324551472622	14674.730987995426	13657.747002021417	13887.326117621527	15576.770245452426	18370.619303385418	14308.668609474049	13518.450388976793	12786.7724609375	13004.709259129677
3900	4200	14396.91449191046	15491.104339995942	14373.438742897728	12939.055158943966	12362.713634672618	15530.334862993179	11846.565380449054	14726.901041666666	12634.705818850978	12325.971380560248	13620.61446782594	15988.88853236607	13404.594739583334	12214.912525100402	15247.676866824128	12849.756177191199	15215.226413347864	13659.010588515228	15892.357840401786	14012.34297219301	13144.402664975554	13810.745551215277	12798.858818852945	14326.141971072635	14716.987051930148	14054.397094726562	13139.246995795682	11187.223664314517	14204.890489634901	9416.71358406644	13960.140516493055	13030.506778492647	12701.302447916667	13860.958185369318	13641.915234375	12402.01953125	14196.41549744898	11094.792385405144	12260.334689405488	15260.837596973339	13467.757471414647	14863.453466311023	15296.538899739584	12966.727685314729	12313.161920861352	14010.326171875	11826.140855505795
4200	4500	13507.801466921543	13987.46673346185	11285.658647017046	13931.341682381466	11568.000093005952	15697.776661020465	11046.289903656776	12479.833740234375	12445.915002524447	12141.027158994932	12721.70738827285	14861.284877232143	13446.938229166666	11573.447626443272	14680.42445494186	14648.901685003699	13997.923196754708	13406.169968968115	15766.268136160714	14074.862927559094	12839.815990681698	13314.856770833334	12813.56220297693	13055.872677364865	13120.666325827206	10892.415283203125	13790.819924228163	12776.785849294354	13127.074873014646	10933.105070739233	13844.344292534723	12316.00680362477	11571.661848958332	13962.327137340199	10555.557421875	13784.552734375	11985.102379623724	13678.898748617257	13537.766006097561	14437.268141526441	12643.609861502448	13366.724031211132	12749.204427083334	13903.683721430518	12591.810825009889	13158.3955078125	12999.4692135842
4500	4800	12270.973944481382	14393.827896712663	14143.340553977272	11812.776916082974	11698.054594494048	15122.954383872604	10786.465713629203	13191.409749348959	11972.760160900298	11892.57611303931	13532.820428007393	13163.086356026786	12793.127708333333	11055.614893166416	15309.28625090843	13385.516439765162	14332.785455362686	12328.098552258487	16068.69447544643	12672.623094607623	13381.20478405175	12781.392686631945	11542.784400031025	12477.514694626267	13826.428056066177	11914.662963867188	13214.692096511044	9626.347404233871	14984.18412554146	9236.356104746586	11234.763997395834	10785.59434599035	11747.752747395833	13117.58163174716	11527.267578125	12794.6162109375	14863.52076690051	11614.169783600664	13979.748108803353	14990.618683074737	12968.081035565374	12752.381524992226	12492.794189453125	12058.660755187699	11916.571498693796	14062.236328125	12561.816021387645
4800	5100	12620.669772966534	11167.671634030032	11874.294566761364	12620.578394396553	8653.733491443452	13049.791597529498	13905.781873686974	14311.215087890625	11809.6752082669	11148.63236105979	13429.178070396505	9201.1259765625	14486.209934895833	11948.129259224397	13538.026848655523	13342.554378351517	11673.320371514124	12718.335250931948	9502.670479910714	11860.855579865285	11533.776811288732	12291.115559895834	12359.613690207581	9674.330503721494	11031.087568933823	9663.68115234375	10250.067765201431	9003.74259702621	15146.139255234117	8603.470136882877	13164.76953125	10389.363674388213	10153.751600970643	12927.785855379972	10892.469921875	13293.7236328125	11255.547313456633	10031.942471394497	12723.669212080793	12699.021904365167	11228.906845009393	11190.927181718362	12290.0859375	10131.792728865392	9481.504837486815	12610.14453125	10656.036570670607
5100	5400	11534.786891206782	11213.294731635551	14237.718128551136	10660.98957266972	8162.667317708333	14260.26282494469	9380.419372045693	11268.138020833334	12549.389171781993	11463.37067200257	10974.927387852822	10543.867466517857	11265.885162760416	10820.910213118097	12409.940520530523	10122.520265116495	12535.0964052314	12058.049740244289	10779.680245535714	11599.896093123998	10810.753064988809	14759.202256944445	11735.768210070228	10816.626811259503	12200.446794577207	11314.944091796875	10224.59278912525	9748.677797379032	12999.782498904187	10574.666347984507	10309.638888888889	11064.009774600758	11474.445073982008	9478.199612704191	10626.3658203125	12345.552734375	8799.827915736607	10025.701193480365	11069.57313738567	10439.016956676136	10147.190205558401	11350.336701502254	10966.516682942709	10689.45649576565	10390.130869161228	11010.6767578125	10269.136619961802
