global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	std_dvars	dvars	framewise_displacement	rmsd	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
14.40988389729141	n/a	n/a	207.64475393341823	11.075641768933655	n/a	n/a	122.66984059374784	12.30815879488569	n/a	151.49077292012197	n/a	12.593690814508411	n/a	n/a	n/a	n/a	0.0634393468694156	n/a	n/a	0.004024550731218	-0.0776944618205277	n/a	0.0060364293975814	n/a	1.1602703124873557	n/a	n/a	1.346227198039506	-0.0073158526543473	n/a	n/a	5.352170006012043e-05	-0.0014257449099204	n/a	2.0327485481639292e-06	n/a	0.006487450619308	n/a	4.208701553795976e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
696.3420683230266	681.9321844257353	465031.50415565504	484892.2761163907	1409.991227598211	1398.9155858292777	1956964.816276071	1988075.2619039104	598.2095612880491	585.9014024931635	357854.67921644024	343280.4534434559	596.6134955369623	0.350044	117.773537	0.0	2.4084628715978617e-16	0.0634393468694156	0.0	0.0	0.004024550731218	-0.0776944618205277	0.0	0.0060364293975814	0.0	1.1602703124873557	0.0	0.0	1.346227198039506	-0.0073158526543473	0.0	0.0	5.352170006012043e-05	-0.0014257449099204	0.0	2.0327485481639292e-06	0.0	0.006487450619308	0.0	4.208701553795976e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5263.599937481008	4567.257869157981	20859844.4433855	27705484.301850073	9878.42937336519	8468.438145766979	71714444.62868127	97583366.8845642	4592.82635848195	3994.6167971939	21094053.959166568	15956963.356423654	4579.863223779567	1.661167	558.904968	0.0	2.4084628715978617e-16	0.0634393468694156	0.0	0.0	0.004024550731218	-0.0776944618205277	0.0	0.0060364293975814	0.0	1.1602703124873557	0.0	0.0	1.346227198039506	-0.0073158526543473	0.0	0.0	5.352170006012043e-05	-0.0014257449099204	0.0	2.0327485481639292e-06	0.0	0.006487450619308	0.0	4.208701553795976e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11512.068536295672	6248.468598814664	39043359.83037289	132527721.98436876	20828.36397133217	10949.934597966982	119901067.69975431	433820745.7222881	10352.126902166265	5759.300543684315	107166531.3985545	33169542.752482448	10314.140736255984	2.242821	754.60437	0.0	2.4084628715978617e-16	0.0634393468694156	0.0	0.0	0.004024550731218	-0.0776944618205277	0.0	0.0060364293975814	0.0	1.1602703124873557	0.0	0.0	1.346227198039506	-0.0073158526543473	0.0	0.0	5.352170006012043e-05	-0.0014257449099204	0.0	2.0327485481639292e-06	0.0	0.006487450619308	0.0	4.208701553795976e-05	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17275.47355202725	5763.40501573158	33216837.37535993	298441986.4467931	30794.039672699877	9965.675701367703	99314692.1848307	948272879.363814	16008.542573730612	5656.415671564348	256273435.33494553	31995038.24951875	15887.19420593668	2.307347	776.314392	0.0	2.4084628715978617e-16	0.0634393468694156	0.0	0.0	0.004024550731218	-0.0776944618205277	0.0	0.0060364293975814	0.0	1.1602703124873557	0.0	0.0	1.346227198039506	-0.0073158526543473	0.0	0.0	5.352170006012043e-05	-0.0014257449099204	0.0	2.0327485481639292e-06	0.0	0.006487450619308	0.0	4.208701553795976e-05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18722.49625002452	1447.0226979972686	2093874.6885192944	350531865.8321822	33023.157090954104	2229.1174182542272	4968964.464364392	1090528904.2538323	17570.415237998943	1561.8726642683305	308719491.6357055	2439446.219388653	17406.062319692523	1.560905	525.17157	0.4331117298253668	0.2218864039029809	0.0115714153652675	-0.0518679315041481	0.0026902823185189	0.0001338976535555	-0.2432227359957721	-0.1655282741752444	0.059157299305269	0.0273996095514348	1.271023423215695	0.1107531107283392	0.0122662515360037	1.6155005423629436	-0.0072361960709031	7.965658344420007e-05	6.3451712860028094e-09	5.2362533576553456e-05	-0.0006057118985653	0.0008200330113551	3.668869040635802e-07	6.724541397121135e-07	0.0052878919457546	-0.0011995586735534	2.796180122997637e-05	1.4389410112971937e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18917.85742666953	195.36117664500853	38165.98934012222	357885329.61579543	33006.201009228345	-16.95608172575885	287.50870749061323	1089409305.061586	18195.7412166445	625.3259786455565	331084998.42309546	391032.5795690229	18024.826382668583	1.266341	426.064667	1.4495840477287008	0.6916811382760164	-0.603180977441383	-0.6147523928066505	0.3779205044615023	0.3638272915471421	-0.4122159441626252	-0.1689932081668531	0.1699219846218845	0.0285587044065253	1.0489129187566275	-0.2221105044590674	0.0493330761910614	1.1002183111345474	-0.0042435143254882	0.0029926817454148	8.95614402933957e-06	1.8007413830623573e-05	-0.0026031626895588	-0.0019974507909935	6.7764559883110045e-06	3.989809662440558e-06	0.0014034656362404	-0.0038844263095141	1.9697157921076707e-06	1.5088767754046106e-05	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18775.511171591497	-142.3462550780314	20262.456334739974	352519819.75455713	32099.18887989889	-907.0121293294542	822671.0027507505	1030357926.7474246	18350.276471340218	154.53525469571832	336732646.5746224	23881.14494387053	18181.777007395765	0.98819	332.479828	0.388774498239228	0.1813345070746182	-0.7661519927432039	-0.1629710153018209	0.0265595518285063	0.5869888759843823	-0.3680089458691782	0.0442069982934469	0.1354305842397437	0.0019542586981168	1.0782538494103877	0.0293409306537602	0.0008608902116287	1.162631363768319	-0.0033919128161845	0.0008516015093036	7.252251306483397e-07	1.1505072552596668e-05	-0.0041017709500947	-0.0014986082605359	1.682452492704078e-05	2.245826718546437e-06	0.000708564326276	-0.0006949013099644	5.020634044709618e-07	4.828878305902391e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18330.82030803159	-444.6908635599066	197749.96413365545	336018973.1653434	30512.762212567835	-1586.4266673310558	2516749.5708191204	931028657.8407075	18154.263716770052	-196.01275457016527	329577291.0980336	38420.99995418385	17990.506925198628	1.032813	347.493317	0.3695769225581661	0.1770635059992949	-0.8253434534479709	-0.0591914607047669	0.0035036290203639	0.6811918161494229	-0.3919134440537561	-0.0239044981845779	0.1535961476300766	0.0005714250334564	1.0301966783834615	-0.0480571710269261	0.0023094916871112	1.0613051961523172	-0.0014339584243669	0.0019579543918176	3.833585400437828e-06	2.0562367628128027e-06	-0.0025783134943484	0.0015234574557463	6.647700475139057e-06	2.3209226194689904e-06	-0.000578499678998	-0.001287064005274	3.34661878600789e-07	1.6565337536719511e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17674.94870894464	-655.8715990869496	430167.5544888723	312403811.86382383	28309.01666329921	-2203.745549268624	4856494.445921269	801400424.4429524	17807.82954889604	-346.4341678740129	317118793.24253494	120016.63267055976	17653.89435693904	0.945148	317.998077	0.2406110114106252	0.1378473246734954	-0.8494782960283089	-0.024134842580338	0.0005824906263776	0.7216133754231593	-0.3909381199699169	0.0009753240838392	0.1528326136456131	9.512570685168e-07	1.1485222595786695	0.1183255811952079	0.0140009431651837	1.3191033807476926	-0.0012308136637628	0.0002031447606041	4.1267793760897114e-08	1.514902274905207e-06	-0.0017696891158525	0.0008086243784959	3.131799566766803e-06	6.538733854978805e-07	0.0003532364529268	0.0009317361319247	1.247759916763074e-07	8.681322195341882e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
